utterance_ID,text,emotion,speaker
1,"Alright , so I am back in high school , I am standing in the middle of the cafeteria , and I realize I am totally naked .",neutral,Chandler
2,"Oh , yeah . Had that dream .",neutral,All
3,"Then I look down , and I realize there is a phone ... there .",surprise,Chandler
4,Instead of ... ?,surprise,Joey
5,That is right .,anger,Chandler
6,Never had that dream .,neutral,Joey
7,No .,neutral,Phoebe
8,"All of a sudden , the phone starts to ring .",neutral,Chandler
9,"I do not want to be single , okay ? I just ... I just ... I just wanna be married again !",sadness,Ross
10,And I just want a million dollars !,neutral,Chandler
11,Rachel ? !,surprise,Monica
12,Oh my God !,surprise,Monica
13,"I know , I know , I am such an idiot .",neutral,Paul
14,"I guess I should have caught on when she started going to the dentist four and five times a week . I mean , how clean can teeth get ?",sadness,Paul
15,"My brother going through that right now , he is such a mess . How did you get through it ?",neutral,Monica
16,"Well , you might try accidentally breaking something valuable of hers , say her ...",neutral,Paul
17,leg ?,surprise,Monica
18,That is one way !,joy,Paul
19,"Me , I ... I went for the watch .",neutral,Paul
20,You actually broke her watch ?,surprise,Monica
21,"Barry , I am sorry ...",sadness,Rachel
22,I am so sorry ...,sadness,Rachel
23,"I know you probably think that this is all about what I said the other day about you making love with your socks on , but it is not ... it is not , it is about me , and I ju ...",sadness,Rachel
24,"Oh , look , wish me luck !",joy,Rachel
25,What for ?,neutral,Monica
26,I am gonna go get one of those job things .,joy,Rachel
27,"You know you probably did not know this , but back in high school , I had a , um , major crush on you .",neutral,Ross
28,I knew .,neutral,Rachel
29,You did ! Oh ...,surprise,Ross
30,I always figured you just thought I was Monica geeky older brother .,neutral,Ross
31,I did .,neutral,Rachel
32,Oh .,sadness,Ross
33,"Listen , do you think ... and try not to let my intense vulnerability become any kind of a factor here ... but do you think it would be okay if I asked you out ? Sometime ? Maybe ?",neutral,Ross
34,"Yeah , maybe ...",joy,Rachel
35,Okay ...,neutral,Ross
36,"okay , maybe I will ...",neutral,Ross
37,"What that Rachel did to her life ... We ran into her parents at the club , they were not playing very well .",sadness,Mrs. Geller
38,I am not gonna tell you what they spent on that wedding ... but forty thousand dollars is a lot of money !,surprise,Mr. Geller
39,"Well , at least she had the chance to leave a man at the altar ...",neutral,Mrs. Geller
40,What that supposed to mean ?,surprise,Monica
41,Nothing ! It is an expression .,neutral,Mrs. Geller
42,No it is not .,neutral,Monica
43,Do not listen to your mother .,neutral,Mr. Geller
44,"You are independent , and you always have been !",neutral,Mr. Geller
45,"Even when you were a kid ... and you were chubby , and you had no friends , you were just fine !",neutral,Mr. Geller
46,"And you would read alone in your room , and your puzzles ...",neutral,Mr. Geller
47,"Sorry I am late , I was stuck at work . There was this big dinosaur ... thing ... anyway .",sadness,Ross
48,Hi .,neutral,Susan
49,"Ross , you remember Susan ?",neutral,Carol
50,How could I forget ?,neutral,Ross
51,Ross .,neutral,Susan
52,"Hello , Susan . Good shake . Good shake .",neutral,Ross
53,"So , uh , we are just waiting for ... ?",neutral,Ross
54,Dr . Oberman .,neutral,Carol
55,... Dr . Oberman . Okay . And is he ...,neutral,Ross
56,She .,neutral,Susan
57,"she , of course , she ... uh ... familiar with our ... special situation ?",neutral,Ross
58,"Yes , and she is very supportive .",joy,Carol
59,"Great . Okay , that is great .",joy,Ross
60,"No , I am ... Oh .",neutral,Ross
61,Thanks .,neutral,Carol
62,"Quack , quack ...",joy,Ross
63,Ross ? That opens my cervix .,surprise,Carol
64,Barry ?,surprise,Rachel
65,C mon in .,neutral,Barry
66,Are you sure ?,surprise,Rachel
67,"Yeah ! It is fine , it is fine . Robbie gonna be here for hours .",neutral,Barry
68,Huh ? !,surprise,Robbie
69,"So , how you doin ?",neutral,Barry
70,So . What have you been up to ?,neutral,Barry
71,"Oh , not much . I ... I got a job .",joy,Rachel
72,"Oh , that is great .",joy,Barry
73,Why are ... why are you so tanned ?,surprise,Rachel
74,"Oh , I , uh ... I went to Aruba .",neutral,Barry
75,"I mean , why should I let them meet him ? I mean , I bring a guy home , and within five minutes they are all over him . I mean , they are like ... coyotes , picking off the weak members of the herd .",disgust,Monica
